x, y
autogen1:Match365, ""2018-08-11T00:00:00"^^xsd:dateTime"
autogen1:Match443, ""2018-08-11T00:00:00"^^xsd:dateTime"
autogen1:Match621, ""2018-08-11T00:00:00"^^xsd:dateTime"
autogen1:Match642, ""2018-08-11T00:00:00"^^xsd:dateTime"
autogen1:Match718, ""2018-08-11T00:00:00"^^xsd:dateTime"
autogen1:Match720, ""2018-08-11T00:00:00"^^xsd:dateTime"
autogen1:Match122, ""2018-08-14T00:00:00"^^xsd:dateTime"
autogen1:Match86, ""2018-08-14T00:00:00"^^xsd:dateTime"
autogen1:Match99, ""2018-08-14T00:00:00"^^xsd:dateTime"
autogen1:Match208, ""2018-08-17T00:00:00"^^xsd:dateTime"
autogen1:Match228, ""2018-08-17T00:00:00"^^xsd:dateTime"
autogen1:Match253, ""2018-08-17T00:00:00"^^xsd:dateTime"
autogen1:Match295, ""2018-08-17T00:00:00"^^xsd:dateTime"
autogen1:Match330, ""2018-08-17T00:00:00"^^xsd:dateTime"
autogen1:Match387, ""2018-08-17T00:00:00"^^xsd:dateTime"
autogen1:Match654, ""2018-08-17T00:00:00"^^xsd:dateTime"
autogen1:Match678, ""2018-08-17T00:00:00"^^xsd:dateTime"
autogen1:Match738, ""2018-08-17T00:00:00"^^xsd:dateTime"
autogen1:Match320, ""2018-08-18T00:00:00"^^xsd:dateTime"
autogen1:Match367, ""2018-08-18T00:00:00"^^xsd:dateTime"
autogen1:Match373, ""2018-08-18T00:00:00"^^xsd:dateTime"
autogen1:Match442, ""2018-08-18T00:00:00"^^xsd:dateTime"
autogen1:Match467, ""2018-08-18T00:00:00"^^xsd:dateTime"
autogen1:Match613, ""2018-08-18T00:00:00"^^xsd:dateTime"
autogen1:Match690, ""2018-08-18T00:00:00"^^xsd:dateTime"
autogen1:Match785, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match787, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match790, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match800, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match802, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match807, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match810, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match815, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match826, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match841, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match843, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match853, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match862, ""2018-08-24T00:00:00"^^xsd:dateTime"
autogen1:Match11, ""2018-08-31T00:00:00"^^xsd:dateTime"
autogen1:Match23, ""2018-08-31T00:00:00"^^xsd:dateTime"
autogen1:Match29, ""2018-08-31T00:00:00"^^xsd:dateTime"
autogen1:Match34, ""2018-08-31T00:00:00"^^xsd:dateTime"
